"index","source_folder","paste_x","paste_y","paste_z","skip_if_master"
"1","1","930","128","15352","False"
"2","2","2791","128","15352","False"
"3","3","4652","128","15352","False"
"4","4","6513","128","15352","False"
"5","5","8374","128","15352","False"
"6","6","10235","128","15352","False"
"7","7","12096","128","15352","False"
"8","8","13957","128","15352","False"
"9","9","15818","128","15352","False"
"10","10","17679","128","15352","False"
"11","11","930","128","13736","False"
"12","12","2791","128","13736","False"
"13","13","4652","128","13736","False"
"14","14","6513","128","13736","False"
"15","15","8374","128","13736","False"
"16","16","10235","128","13736","False"
"17","17","12096","128","13736","False"
"18","18","13957","128","13736","False"
"19","19","15818","128","13736","False"
"20","20","17679","128","13736","False"
"21","21","930","128","12120","False"
"22","22","2791","128","12120","False"
"23","23","4652","128","12120","False"
"24","24","6513","128","12120","False"
"25","25","8374","128","12120","False"
"26","26","10235","128","12120","False"
"27","27","12096","128","12120","False"
"28","28","13957","128","12120","False"
"29","29","15818","128","12120","False"
"30","30","17679","128","12120","False"
"31","31","930","128","10504","False"
"32","32","2791","128","10504","False"
"33","33","4652","128","10504","False"
"34","34","6513","128","10504","False"
"35","35","8374","128","10504","False"
"36","36","10235","128","10504","False"
"37","37","12096","128","10504","False"
"38","38","13957","128","10504","False"
"39","39","15818","128","10504","False"
"40","40","17679","128","10504","False"
"41","41","930","128","8888","False"
"42","42","2791","128","8888","False"
"43","43","4652","128","8888","False"
"44","44","6513","128","8888","False"
"45","45","8374","128","8888","False"
"46","46","10235","128","8888","False"
"47","47","12096","128","8888","False"
"48","48","13957","128","8888","False"
"49","49","15818","128","8888","False"
"50","50","17679","128","8888","False"
"51","51","930","128","7272","False"
"52","52","2791","128","7272","False"
"53","53","4652","128","7272","False"
"54","54","6513","128","7272","False"
"55","55","8374","128","7272","False"
"56","56","10235","128","7272","False"
"57","57","12096","128","7272","False"
"58","58","13957","128","7272","False"
"59","59","15818","128","7272","False"
"60","60","17679","128","7272","False"
"61","61","930","128","5656","False"
"62","62","2791","128","5656","False"
"63","63","4652","128","5656","False"
"64","64","6513","128","5656","False"
"65","65","8374","128","5656","False"
"66","66","10235","128","5656","False"
"67","67","12096","128","5656","False"
"68","68","13957","128","5656","False"
"69","69","15818","128","5656","False"
"70","70","17679","128","5656","False"
"71","71","930","128","4040","False"
"72","72","2791","128","4040","False"
"73","73","4652","128","4040","False"
"74","74","6513","128","4040","False"
"75","75","8374","128","4040","False"
"76","76","10235","128","4040","False"
"77","77","12096","128","4040","False"
"78","78","13957","128","4040","False"
"79","79","15818","128","4040","False"
"80","80","17679","128","4040","False"
"81","81","930","128","2424","False"
"82","82","2791","128","2424","False"
"83","83","4652","128","2424","False"
"84","84","6513","128","2424","False"
"85","85","8374","128","2424","False"
"86","86","10235","128","2424","False"
"87","87","12096","128","2424","False"
"88","88","13957","128","2424","False"
"89","89","15818","128","2424","False"
"90","90","17679","128","2424","False"
"91","91","930","128","808","True"
"92","92","2791","128","808","False"
"93","93","4652","128","808","False"
"94","94","6513","128","808","False"
"95","95","8374","128","808","False"
"96","96","10235","128","808","False"
"97","97","12096","128","808","False"
"98","98","13957","128","808","False"
"99","99","15818","128","808","False"
"100","100","17679","128","808","False"
